"65, 67, 68, 70, 74, 75, 75, 76, 74, 75, 76, 77, 78, 79, 78, 80,mei"
"91, 93, 85, 90, 95, 93, 86, 91, 87, 87, 87, 86, 88, 87, 90, 87,mei"
"70, 73, 69, 71, 76, 76, 77, 78, 74, 75, 76, 78, 79, 80, 78, 81,mei"
"€65, 64, 68, 67, 72, 71, 74, 73, 73, 70, 72, 74, 77, 77, 78, 78,mei"
"13, 19, 24, 29, 35, 37, 41, 47, 44, 48, 51, 55, 58, 59, 59, 62,mei"
"102, 100, 102, 97, 99, 99, 97, 96, 92, 91, 89, 89, 91, 91, 90, 88,mei"
"76, 78, 76, 77, 79, 80, 81, 81, 79, 81, 80, 81, 81, 83, 82, 80,mei"
"70, 71, 72, 72, 76, 76, 77, 77, 74, 74, 71, 76, 81, 79, 80, 80,mei"
"167, 163, 157, 151, 149, 145, 139, 136, 130, 127, 122, 120, 120, 120, 115, 117,mei"
"36, 40, 44, 47, 50, 53, 58, 57, 57, 59, 61, 63, 67, 69, 71, 69,mei"
"50, 56, 55, 57, 62, 64, 64, 67, 64, 67, 68, 65, 71, 75, 73, 75,mei"
"50, 52, 52, 56, 62, 64, 65, 66, 65, 66, 69, 68, 73, 73, 73, 74,mei"
"43, 49, 50, 54, 57, 58, 61, 64, 61, 65, 67, 66, 69, 70, 71, 74,mei"
"79, 75, 73, 77, 80, 81, 76, 82, 80, 79, 81, 82, 85, 84, 84, 83,mei"
"79, 79, 79, 81, 82, 82, 83, 85, 81, 81, 81, 83, 86, 87, 87, 85,mei"
"88, 88, 90, 92, 91, 91, 89, 92, 87, 88, 87, 88, 89, 90, 89, 90,mei"
"63, 63, 68, 68, 70, 71, 76, 75, 74, 74, 75, 75, 78, 78, 79, 80,mei"
"60, 62, 63, 66, 67, 69, 72, 76, 71, 73, 74, 79, 78, 79, 79, 83,mei"
"60, 62, 67, 66, 73, 69, 73, 72, 74, 73, 76, 75, 74, 79, 80, 80,mei"
"59, 60, 64, 66, 70, 70, 71, 73, 71, 73, 72, 75, 77, 82, 78, 74,mei"
"52, 54, 58, 62, 63, 66, 68, 70, 68, 70, 70, 73, 74, 75, 77, 78,mei"
"47, 48, 52, 56, 59, 62, 63, 67, 64, 65, 67, 68, 71, 72, 74, 78,mei"
"54, 56, 58, 60, 64, 66, 67, 71, 67, 68, 71, 71, 74, 75, 76, 79,mei"
"1, 9, 14, 24, 27, 33, 37, 40, 39, 44, 48, 51, 56, 57, 60, 63,mei"
"48, 51, 53, 56, 64, 63, 65, 68, 65, 68, 70, 71, 75, 75, 76, 77,mei"
"35, 38, 42, 46, 52, 54, 57, 58, 60, 61, 63, 66, 68, 70, 71, 73,mei"
"81, 80, 81, 81, 84, 84, 85, 84, 83, 83, 83, 83, 85, 86, 88, 86,mei"
"66, 70, 70, 72, 75, 76, 77, 77, 76, 78, 78, 80, 82, 83, 83, 83,mei"
"67, 69, 69, 71, 76, 77, 77, 77, 74, 77, 78, 74, 82, 83, 83, 83,mei"
"67, 68, 71, 73, 76, 78, 79, 79, 76, 77, 78, 80, 82, 82, 83, 84,mei"
"65, 67, 67, 70, 74, 76, 75, 76, 75, 77, 74, 77, 80, 80, 81, 81,mei"
"67, 69, 71, 72, 73, 75, 76, 76, 76, 80, 78, 78, 78, 82, 82, 83,mei"
"67, 72, 69, 72, 74, 75, 76, 78, 75, 76, 78, 78, 81, 81, 80, 86,mei"
"66, 68, 73, 71, 75, 76, 78, 77, 80, 77, 77, 78, 81, 82, 81, 81,mei"
"70, 71, 71, 68, 76, 79, 78, 79, 74, 77, 78, 77, 83, 82, 83, 85,mei"
"67, 70, 71, 72, 76, 76, 79, 78, 78, 76, 76, 77, 81, 81, 84, 84,mei"
"67, 68, 71, 71, 73, 76, 77, 79, 76, 80, 78, 79, 79, 80, 82, 83,mei"
